Рег. №,Статус,Име на читалище,Област,Община,Град/село,Адрес,Булстат,Председател,Секретар,E-mail,Телефон,Факс,линк,Връзка към сайт библиотеки,Информационна карта,Информационна карта 2016,Информационна карта 2017,Информационна карта 2018,Информационна карта 2019,Информационна карта 2020,Информационна карта 2021,Информационна карта 2022
277,Действащо,Зорница-1928,СТАРА ЗАГОРА,НИКОЛАЕВО,СЕЛО НОВА МАХАЛА,"п. к. 6191,",000805509,Пенка Петрова Кехайова,Марияна Григорова Колева 0899925498,lib_zornica1928@abv.bg,04330/22 97,0430/22 97,https://chitalishta.com/index.php?act=community&do=detail&id=248&reg_num=277,http://bibliobg.com/index.php?act=community&do=detail&hash=d59393e52ee9f1668f065edda2ff0f1ac13b528c,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57644,,https://chitalishta.com/index.php?act=community&do=detail1&id=85042,https://chitalishta.com/index.php?act=community&do=detail1&id=98891,
278,Действащо,Йордан Йовков -1941 година,ДОБРИЧ,ДОБРИЧКА,СЕЛО КОТЛЕНЦИ,"Първа 37,  п.к.9374",000843926,Тодорка Василева Атанасова,Марияна Хараламбиева Митева,chitalishte_9374@abv.bg,0885681715,-,https://chitalishta.com/index.php?act=community&do=detail&id=2885&reg_num=278,http://bibliobg.com/index.php?act=community&do=detail&hash=6aa5262d98911308e7adba2e551c26b3d1f7f520,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=68236,https://chitalishta.com/index.php?act=community&do=detail1&id=84709,https://chitalishta.com/index.php?act=community&do=detail1&id=97831,
279,Действащо,Христо Ботев-1897,СТАРА ЗАГОРА,КАЗАНЛЪК,СЕЛО РОЗОВО,"„Роза” 6,  п.к. 6163",000805719,Иван Валентинов Русев,Делка Атанасова Кирова,hb_rozovo@abv.bg,04347/360; 0884543045,-,https://chitalishta.com/index.php?act=community&do=detail&id=249&reg_num=279,http://bibliobg.com/index.php?act=community&do=detail&hash=e3dca3010ed719e65edc2c10f9040816dcdfd0a4,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54233,https://chitalishta.com/index.php?act=community&do=detail1&id=67694,https://chitalishta.com/index.php?act=community&do=detail1&id=85915,https://chitalishta.com/index.php?act=community&do=detail1&id=100220,
280,Действащо,Изгрев -1909,БУРГАС,БУРГАС,ГРАД БУРГАС,"ж.к. Изгрев, до бл.72, п.к.8008",000044705,Даниела Атанасова Тодорова,Кристина Димитрова Атанасова,chitalishte_izgrev@abv.bg,056/860889,-,https://chitalishta.com/index.php?act=community&do=detail&id=250&reg_num=280,http://bibliobg.com/index.php?act=community&do=detail&hash=69f044f26e819b7e70f52a0f209378aa15887612,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65612,https://chitalishta.com/index.php?act=community&do=detail1&id=79980,https://chitalishta.com/index.php?act=community&do=detail1&id=94341,https://chitalishta.com/index.php?act=community&do=detail1&id=106892
281,Действащо,Просвета -1929 г.,БУРГАС,РУЕН,СЕЛО ЛЮЛЯКОВО,"Свобода 1, п.к.8570",000045999,Добрин Бончев Стоянов,Йовка Ангелова Мутафова,prosveta1929@abv.bg,05942/21-61; 0885253298,-,https://chitalishta.com/index.php?act=community&do=detail&id=251&reg_num=281,http://bibliobg.com/index.php?act=community&do=detail&hash=35373de9a22a8762a9f0d4b0b0a7ccff677a2ceb,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65950,https://chitalishta.com/index.php?act=community&do=detail1&id=79912,https://chitalishta.com/index.php?act=community&do=detail1&id=92119,https://chitalishta.com/index.php?act=community&do=detail1&id=107314
282,Действащо,Любен Каравелов 1940,БУРГАС,БУРГАС,ГРАД БУРГАС,"Цар Калоян 24, п.к.8000",000044678,Росица Янева Янева,Величка Тенева Колева,chitalishte_lk@abv.bg,056/844469,-,https://chitalishta.com/index.php?act=community&do=detail&id=252&reg_num=282,http://bibliobg.com/index.php?act=community&do=detail&hash=d2f08dec3523bf6f131f9144d1cc826f7f357cca,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65630,https://chitalishta.com/index.php?act=community&do=detail1&id=80665,https://chitalishta.com/index.php?act=community&do=detail1&id=92688,
283,Действащо,Борис Беров 1903,СТАРА ЗАГОРА,ПАВЕЛ БАНЯ,СЕЛО ТЪЖА,"Марко Чернев 12,  п.к. 6160",000805345,Нено Христов Мартинов,Николина Христова Михалева,niki.hristova1@abv.bg,0895275669; 0893343629,-,https://chitalishta.com/index.php?act=community&do=detail&id=253&reg_num=283,http://bibliobg.com/index.php?act=community&do=detail&hash=a77075719f5a6429957fbf85d17a1db4ecd10a34,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=66981,https://chitalishta.com/index.php?act=community&do=detail1&id=78266,https://chitalishta.com/index.php?act=community&do=detail1&id=91392,https://chitalishta.com/index.php?act=community&do=detail1&id=104003
284,Действащо,Иван Вазов 1928,ПЛЕВЕН,ГУЛЯНЦИ,СЕЛО МИЛКОВИЦА,"Васил Левски 2, п.к. 5968",114084372,Елиза Цветанова Миткова,Мими Данчева Караджова-Белелиева,chitalishte_milkovica@abv.bg,0878893201,-,https://chitalishta.com/index.php?act=community&do=detail&id=254&reg_num=284,http://bibliobg.com/index.php?act=community&do=detail&hash=2ad3676c1d6963cd14253649b0589cf225af4b02,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=61863,https://chitalishta.com/index.php?act=community&do=detail1&id=88144,https://chitalishta.com/index.php?act=community&do=detail1&id=90791,https://chitalishta.com/index.php?act=community&do=detail1&id=104139
285,Действащо,Георги Бенковски-1928,СОФИЯ,КОСТЕНЕЦ,СЕЛО ГОРНА ВАСИЛИЦА,п.к.2046,122095781,Георги Йорданов Апостолов,Светла Миткова Кангалова,benkovskigv@abv.bg,07142/30-04 0878272320,-,https://chitalishta.com/index.php?act=community&do=detail&id=255&reg_num=285,http://bibliobg.com/index.php?act=community&do=detail&hash=f3c9b1fb12e636a4619fefe3bdd190964efa123e,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=63299,https://chitalishta.com/index.php?act=community&do=detail1&id=79834,https://chitalishta.com/index.php?act=community&do=detail1&id=97753,https://chitalishta.com/index.php?act=community&do=detail1&id=106761
286,Действащо,Ловчанско читалище Наука-1870 г.,ЛОВЕЧ,ЛОВЕЧ,ГРАД ЛОВЕЧ,"Търговска 49, п.к.5500",000282820,Стоян Георгиев Стоянов,Пенка Стаменова Петкова,nauka135@abv.bg,068/604203,-,https://chitalishta.com/index.php?act=community&do=detail&id=256&reg_num=286,http://bibliobg.com/index.php?act=community&do=detail&hash=b0893704608a452fc166114edccf792666dccd65,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=50225,https://chitalishta.com/index.php?act=community&do=detail1&id=69578,https://chitalishta.com/index.php?act=community&do=detail1&id=80852,https://chitalishta.com/index.php?act=community&do=detail1&id=96756,https://chitalishta.com/index.php?act=community&do=detail1&id=107587
287,Действащо,Просвета-1947 г.,ПАЗАРДЖИК,СЪРНИЦА,ГРАД СЪРНИЦА,"Свобода 11 А,  п.к.4633",112076170,Айше Мустафова Халачева,Незифе Салих Якубова,chitalishte.sarnica@abv.bg,0899916232; 0895774974,-,https://chitalishta.com/index.php?act=community&do=detail&id=257&reg_num=287,http://bibliobg.com/index.php?act=community&do=detail&hash=24e223e017797917c495495621fba5ac4caa4e1f,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=52285,https://chitalishta.com/index.php?act=community&do=detail1&id=67681,https://chitalishta.com/index.php?act=community&do=detail1&id=81439,https://chitalishta.com/index.php?act=community&do=detail1&id=90717,https://chitalishta.com/index.php?act=community&do=detail1&id=103787
288,Действащо,Георги Бенковски1900 г.,ПАЗАРДЖИК,ЛЕСИЧОВО,СЕЛО ЦЕРОВО,"Двадесет и шеста 2,  п.к.4465",112076470,Крум Илиев Недков,Златка Бойкова Николова,g.benkovski1900@abv.bg,0897 45 12 34,-,https://chitalishta.com/index.php?act=community&do=detail&id=258&reg_num=288,http://bibliobg.com/index.php?act=community&do=detail&hash=0e01b0235a406b9b35cbdff77bdef136549d87e7,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=67295,https://chitalishta.com/index.php?act=community&do=detail1&id=86150,https://chitalishta.com/index.php?act=community&do=detail1&id=100037,
289,Действащо,Стефан Караджа -1941,ДОБРИЧ,БАЛЧИК,СЕЛО СТРАЖИЦА,"Четвърта 5, п.к.9615",000846616,Тодор Иванов Енев,Димитричка Николова Ганчева,nch.stefankaradja1941@abv.bg,0882410434,-,https://chitalishta.com/index.php?act=community&do=detail&id=259&reg_num=289,http://bibliobg.com/index.php?act=community&do=detail&hash=d5302c1c052893452637cb51eba769454d41d54b,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55537,https://chitalishta.com/index.php?act=community&do=detail1&id=75472,https://chitalishta.com/index.php?act=community&do=detail1&id=85957,https://chitalishta.com/index.php?act=community&do=detail1&id=100150,https://chitalishta.com/index.php?act=community&do=detail1&id=107208
290,Действащо,Съзнание-1927 г.,БУРГАС,БУРГАС,СЕЛО МАРИНКА,"Михаил Герджиков 35, п.к.8154",000045764,Недка Христова Тенева,Цонка Димитрова Пехливанова,saznanie_1927_marinka@abv.bg,05919/236; 0889748601,-,https://chitalishta.com/index.php?act=community&do=detail&id=260&reg_num=290,http://bibliobg.com/index.php?act=community&do=detail&hash=99d05eb7aabc3f64a637a70bdf85c89785b13acc,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53453,https://chitalishta.com/index.php?act=community&do=detail1&id=73865,https://chitalishta.com/index.php?act=community&do=detail1&id=87808,https://chitalishta.com/index.php?act=community&do=detail1&id=100656,
291,Действащо,Обнова -1939,СМОЛЯН,БОРИНО,СЕЛО БОРИНО,"Родопи 33, п.к.4824",000609752,Джемиле Мустафа Амиш,Налян Еминова Ахмедова,obnova_borino@abv.bg,03042/2607,-,https://chitalishta.com/index.php?act=community&do=detail&id=261&reg_num=291,http://bibliobg.com/index.php?act=community&do=detail&hash=001b41bb63c481f4d9672692a8de398653c340df,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53303,https://chitalishta.com/index.php?act=community&do=detail1&id=73242,https://chitalishta.com/index.php?act=community&do=detail1&id=84303,https://chitalishta.com/index.php?act=community&do=detail1&id=99909,https://chitalishta.com/index.php?act=community&do=detail1&id=108293
292,Действащо,Христо Ботев-1952,СТАРА ЗАГОРА,СТАРА ЗАГОРА,СЕЛО СТАРОЗАГОРСКИ БАНИ,"“Старозагорска” 29, п.к.6062",000805968,Маргаритка Малинова Желева,Надежда Колева Иванова,chitalishteszbani@abv.bg,04111 2299; 0892977244; 0885845960,-,https://chitalishta.com/index.php?act=community&do=detail&id=262&reg_num=292,http://bibliobg.com/index.php?act=community&do=detail&hash=ba51be039f478a0c2204258b86f1a2d9725fd8ca,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=54923,https://chitalishta.com/index.php?act=community&do=detail1&id=68463,https://chitalishta.com/index.php?act=community&do=detail1&id=80674,https://chitalishta.com/index.php?act=community&do=detail1&id=91128,https://chitalishta.com/index.php?act=community&do=detail1&id=105405
293,Действащо,Христо Ботев 1914,РУСЕ,СЛИВО ПОЛЕ,СЕЛО БОРИСОВО,"пл.Възраждане 6, п.к.7064",000523303,Венелин Стефанов Николов,Даринка Петрова Йорданова,petrova_47@mail.bg,081313210; 0886954689,-,https://chitalishta.com/index.php?act=community&do=detail&id=263&reg_num=293,http://bibliobg.com/index.php?act=community&do=detail&hash=d1e71617317d4afb8dff70f1d520038bdbb33b13,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=66928,https://chitalishta.com/index.php?act=community&do=detail1&id=80992,https://chitalishta.com/index.php?act=community&do=detail1&id=90626,https://chitalishta.com/index.php?act=community&do=detail1&id=105680
294,Действащо,Просвета -1958,ПАЗАРДЖИК,БЕЛОВО,СЕЛО АКАНДЖИЕВО,"Първа 20,  п.к.4483",112075780,Адриана Ангелова Пондева,Красимира Ангелова Борисова,prosveta_1958@abv.bg,035/ 981 333; 0899 210615,-,https://chitalishta.com/index.php?act=community&do=detail&id=264&reg_num=294,http://bibliobg.com/index.php?act=community&do=detail&hash=741255e07564664018c887be6a8174ddbea2d94b,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=51911,https://chitalishta.com/index.php?act=community&do=detail1&id=67887,https://chitalishta.com/index.php?act=community&do=detail1&id=81804,,
295,Действащо,Просвета-1927,ПЛОВДИВ,МАРИЦА,СЕЛО МАНОЛЕ,"“Първа” 1, п.к.4137",000457052,Димитрина Трифонова Караджонова-Желязкова,Росица Петкова Лилова,chitalishte_manole@abv.bg,0893968146,-,https://chitalishta.com/index.php?act=community&do=detail&id=265&reg_num=295,http://bibliobg.com/index.php?act=community&do=detail&hash=58d016bc951d51a7f823628f8f313fd83f3516cb,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=75806,https://chitalishta.com/index.php?act=community&do=detail1&id=85743,,
296,Действащо,Дядо Иван Арабаджията-1926 г.-с. Царацово,ПЛОВДИВ,МАРИЦА,СЕЛО ЦАРАЦОВО,"Иван Арабаджията 2, п.к.4204",000457390,Светла Иванова Димитрова,Елисавета Николова Сандекова,elisaveta_sandekova@abv.bg,0878259261,-,https://chitalishta.com/index.php?act=community&do=detail&id=266&reg_num=296,http://bibliobg.com/index.php?act=community&do=detail&hash=3efd946cbf925d7f01e47c7bdaa32768714eacc9,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=64331,https://chitalishta.com/index.php?act=community&do=detail1&id=81593,https://chitalishta.com/index.php?act=community&do=detail1&id=92118,
297,Действащо,Васил Левски -1930г.-с.Бенковски,ПЛОВДИВ,МАРИЦА,СЕЛО БЕНКОВСКИ,"Пета 16, п.к. 4201",000456018,Светла Пенчева,Стоилка Велкова Дешлиева,ch_benkovski@abv.bg,0878259136,-,https://chitalishta.com/index.php?act=community&do=detail&id=267&reg_num=297,http://bibliobg.com/index.php?act=community&do=detail&hash=fcaf911149aa92306b33850ccebb9f9d5bc6010b,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=71317,https://chitalishta.com/index.php?act=community&do=detail1&id=83946,https://chitalishta.com/index.php?act=community&do=detail1&id=93702,https://chitalishta.com/index.php?act=community&do=detail1&id=106779
298,Действащо,Васил Левски -1936 г.- с. Ясно поле,ПЛОВДИВ,МАРИЦА,СЕЛО ЯСНО ПОЛЕ,"Първа 24, п.к.4139",000457508,Иван Георгиев Иванов,Василка Георгиева Христозова,vasil_levski.qsnopole@abv.bg,0882426197,-,https://chitalishta.com/index.php?act=community&do=detail&id=268&reg_num=298,http://bibliobg.com/index.php?act=community&do=detail&hash=26c48068b8cb6ce44d1326cbaa38e5d47d7161b1,,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=86254,https://chitalishta.com/index.php?act=community&do=detail1&id=91062,
299,Действащо,Виделина -1928 г.-с. Войводиново,ПЛОВДИВ,МАРИЦА,СЕЛО ВОЙВОДИНОВО,"Христо Ботев 50, п.к.4135",000456146,Татяна Русенова,Едуард Папазян,videlina1928@gmail.com,031012264,-,https://chitalishta.com/index.php?act=community&do=detail&id=2886&reg_num=299,http://bibliobg.com/index.php?act=community&do=detail&hash=1d08c646e43e22b9c4670f1ffaecb6a6d8b6e8fd,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=59030,https://chitalishta.com/index.php?act=community&do=detail1&id=75168,,https://chitalishta.com/index.php?act=community&do=detail1&id=99034,
300,Действащо,Светлина-1929г. с.Труд,ПЛОВДИВ,МАРИЦА,СЕЛО ТРУД,"”Никола Петков” 34, п.к.4199",000457230,Ивана Борисова Икономова -Иванова,Димитричка Тончева Шопова,chitalishte_svetlina@mail.bg,03126/22-00; 0896079405,-,https://chitalishta.com/index.php?act=community&do=detail&id=269&reg_num=300,http://bibliobg.com/index.php?act=community&do=detail&hash=fbe0fbd02d053bff39139b89aba9084902068eab,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=59346,https://chitalishta.com/index.php?act=community&do=detail1&id=67478,https://chitalishta.com/index.php?act=community&do=detail1&id=84853,https://chitalishta.com/index.php?act=community&do=detail1&id=96270,
301,Действащо,Отец Паисий-1934 г.- с.Радиново,ПЛОВДИВ,МАРИЦА,СЕЛО РАДИНОВО,"Първа 23, п.к.4202",000456527,Димитър Стоянов Спасов,Росица Николова Делева,rosi_deleva1@mail.bg,0878496607,-,https://chitalishta.com/index.php?act=community&do=detail&id=270&reg_num=301,http://bibliobg.com/index.php?act=community&do=detail&hash=ee9362c9439b5a6f40db9ae8b31ed49ac70421af,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=64320,https://chitalishta.com/index.php?act=community&do=detail1&id=80036,https://chitalishta.com/index.php?act=community&do=detail1&id=90115,https://chitalishta.com/index.php?act=community&do=detail1&id=107026
302,Действащо,Тодор Каблешков-1874,ПАЗАРДЖИК,БЕЛОВО,СЕЛО ГОЛЯМО БЕЛОВО,"Юндола 87,  п.к.4473",112048559,Анна Георгиева Кехайова,Росица Методиева Терзиева,selo_gol.bel.todor_kableskov@abv.bg,0878 63 02 37,не,https://chitalishta.com/index.php?act=community&do=detail&id=271&reg_num=302,http://bibliobg.com/index.php?act=community&do=detail&hash=ab2764e42919ade550fdf0454d86929b85efda89,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55540,https://chitalishta.com/index.php?act=community&do=detail1&id=73046,,,
303,Действащо,Никола Йонков Вапцаров,ПЛОВДИВ,САДОВО,СЕЛО МОМИНСКО,,,Ангел Илиев Ангелов,Аделаида Николаева Димитрова,,03102/580,,https://chitalishta.com/index.php?act=community&do=detail&id=272&reg_num=303,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,,,,,
304,Действащо,Свобода -1897,ДОБРИЧ,БАЛЧИК,СЕЛО ГУРКОВО,"Възход 2, п.к.9644",000843214,Наталия Петрова Георгиева,Дияна Георгиева Плугчиева,nchsvoboda@abv.bg,0877526424;0885 34 13 80,-,https://chitalishta.com/index.php?act=community&do=detail&id=273&reg_num=304,http://bibliobg.com/index.php?act=community&do=detail&hash=b4f5616142d58946b066cd462e3f9db1c976a2a7,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55193,https://chitalishta.com/index.php?act=community&do=detail1&id=74683,https://chitalishta.com/index.php?act=community&do=detail1&id=85685,https://chitalishta.com/index.php?act=community&do=detail1&id=92156,
305,Действащо,Св.Св.Кирил и Методий-1905,ПАЗАРДЖИК,ВЕЛИНГРАД,ГРАД ВЕЛИНГРАД,"пл.Македония1,  п.к.4601",000343166,Мария Костадинова Чорбаджиева,Иван Илиев Пещерски,ivanpeshterski@abv.bg,"0359/5 32 60, 0885 89 81 85",-,https://chitalishta.com/index.php?act=community&do=detail&id=274&reg_num=305,http://bibliobg.com/index.php?act=community&do=detail&hash=2fa619b2bbf59454a13595830c7ddfedf11bef75,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=65887,https://chitalishta.com/index.php?act=community&do=detail1&id=79875,https://chitalishta.com/index.php?act=community&do=detail1&id=93831,
306,Действащо,Възрождение,СОФИЯ-ГРАД,СТОЛИЧНА,ГРАД СОФИЯ,район Възраждане,,Биляна Анастасова Ангелова,-,-,-,-,https://chitalishta.com/index.php?act=community&do=detail&id=2887&reg_num=306,http://bibliobg.com/index.php?act=community&do=detail&hash=da39a3ee5e6b4b0d3255bfef95601890afd80709,,,,,,,,
307,Действащо,Родопска просвета -1923,СМОЛЯН,ДЕВИН,ГРАД ДЕВИН,"Орфей 1, п.к.4800",000608675,Снежана Младенова Банкатеваа,,chitalishte_devin@abv.bg,03041/2319; 2243,,https://chitalishta.com/index.php?act=community&do=detail&id=275&reg_num=307,http://bibliobg.com/index.php?act=community&do=detail&hash=8a38baff1004c515f44e29a0931a8ce7d129a78f,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55754,https://chitalishta.com/index.php?act=community&do=detail1&id=73524,https://chitalishta.com/index.php?act=community&do=detail1&id=77725,https://chitalishta.com/index.php?act=community&do=detail1&id=89671,https://chitalishta.com/index.php?act=community&do=detail1&id=106880
308,Действащо,Пробуда -1924,ГАБРОВО,ТРЯВНА,ГРАД ПЛАЧКОВЦИ,"Бузлуджа 8, п.к.5360",000210504,Мария Райкова Желязкова,-,probuda@abv.bg,06770/2055; 0877566818,067702055,https://chitalishta.com/index.php?act=community&do=detail&id=276&reg_num=308,http://bibliobg.com/index.php?act=community&do=detail&hash=cf65fec639f4e0c0df807699172bab833307b3cc,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57203,https://chitalishta.com/index.php?act=community&do=detail1&id=67092,https://chitalishta.com/index.php?act=community&do=detail1&id=84620,https://chitalishta.com/index.php?act=community&do=detail1&id=101503,
309,Действащо,Просвета-1908,СТАРА ЗАГОРА,КАЗАНЛЪК,СЕЛО ОВОЩНИК,"Розова долина 47, п.к.6138",000805092,Айхан Ариф Ходжа,Георги Атанасов Данев,chitalishteprosvetaovoshtnik@abv.bg,04342/2230; 0884543039,-,https://chitalishta.com/index.php?act=community&do=detail&id=277&reg_num=309,http://bibliobg.com/index.php?act=community&do=detail&hash=b96f7948000a301d638d6af61184647b8bcf9d71,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58667,https://chitalishta.com/index.php?act=community&do=detail1&id=73469,https://chitalishta.com/index.php?act=community&do=detail1&id=86590,https://chitalishta.com/index.php?act=community&do=detail1&id=100230,
310,Действащо,Просвета -1928 г.,БУРГАС,КАМЕНО,СЕЛО ЧЕРНИ ВРЪХ,п.к.8122,000046916,Желязка Стоянова Димова,Стойка Петрова Забирова,zab1955@abv.bg,0898270174,,https://chitalishta.com/index.php?act=community&do=detail&id=278&reg_num=310,http://bibliobg.com/index.php?act=community&do=detail&hash=465e6d17cc34c16dbf51407d6ba702425486fa88,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=67213,https://chitalishta.com/index.php?act=community&do=detail1&id=79025,https://chitalishta.com/index.php?act=community&do=detail1&id=97849,https://chitalishta.com/index.php?act=community&do=detail1&id=108913
311,Действащо,Васил Левски-1937,БУРГАС,БУРГАС,ГРАД БУРГАС,"Дружба 26, кв.Горно Езерово, п.к.8017",000044986,Станка Алексиева Петкова,Милена Дросева,chitalishtevasillevski.ge@abv.bg,0898 810371,-,https://chitalishta.com/index.php?act=community&do=detail&id=279&reg_num=311,http://bibliobg.com/index.php?act=community&do=detail&hash=27318fb308d0602c402db3513be30de0b0ade5fe,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=53810,https://chitalishta.com/index.php?act=community&do=detail1&id=67138,https://chitalishta.com/index.php?act=community&do=detail1&id=77250,https://chitalishta.com/index.php?act=community&do=detail1&id=95705,https://chitalishta.com/index.php?act=community&do=detail1&id=107275
312,Действащо,Христо Ботев - 1917,СОФИЯ-ГРАД,СТОЛИЧНА,ГРАД СОФИЯ,"Цар Симеон 147, р-н Възраждане,  п.к.1303",000671280,Добри Василев Добрев,Бойко Драганов Павлов,botev1917@abv.bg,02/ 831 31 02,,https://chitalishta.com/index.php?act=community&do=detail&id=2830&reg_num=312,http://bibliobg.com/index.php?act=community&do=detail&hash=0b2d11ec9f70385404690e82fc8d3e907ec90610,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58700,https://chitalishta.com/index.php?act=community&do=detail1&id=75369,https://chitalishta.com/index.php?act=community&do=detail1&id=85979,https://chitalishta.com/index.php?act=community&do=detail1&id=99552,
313,Действащо,Образцово народно читалище Просвета-1908,СМОЛЯН,ЗЛАТОГРАД,ГРАД ЗЛАТОГРАД,"Стефан Стамболов 1, п.к.4980",000608668,Любомир Ангелов,Райчо Здравков Пашов,mail@prosveta.info,0897028583,www.prosveta.info,https://chitalishta.com/index.php?act=community&do=detail&id=280&reg_num=313,http://bibliobg.com/index.php?act=community&do=detail&hash=8ad2bd21617ea9ae4ec82e5c76c899e69c81b1e2,,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=63066,https://chitalishta.com/index.php?act=community&do=detail1&id=76250,https://chitalishta.com/index.php?act=community&do=detail1&id=93423,
314,Действащо,Христо Ботев 1927 г.,ПЛОВДИВ,САДОВО,СЕЛО АХМАТОВО,"Първа 8, п.к.4128",000457159,Йордан Ваклушев Йорданов,Георги Богданов Петров,joro76111010@abv.bg,0899799773,-,https://chitalishta.com/index.php?act=community&do=detail&id=281&reg_num=314,http://bibliobg.com/index.php?act=community&do=detail&hash=dafae82f9f62e0767c6fa97b9a4a77ae3232c785,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58978,https://chitalishta.com/index.php?act=community&do=detail1&id=72474,https://chitalishta.com/index.php?act=community&do=detail1&id=88267,https://chitalishta.com/index.php?act=community&do=detail1&id=101142,
315,Действащо,Кольо Семов -1927г.,ЛОВЕЧ,УГЪРЧИН,СЕЛО МИКРЕ,"пл.Освобождение  5, п.к.5572",000283609,Иванка Христова Илиева,Краса Христова Петкова,ch_mikre@abv.bg,06932/388 ; 0889185502,-,https://chitalishta.com/index.php?act=community&do=detail&id=282&reg_num=315,http://bibliobg.com/index.php?act=community&do=detail&hash=e55d00095b48efee5c8dcdc9bfca6842be2f1abc,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=55163,https://chitalishta.com/index.php?act=community&do=detail1&id=74459,https://chitalishta.com/index.php?act=community&do=detail1&id=87706,https://chitalishta.com/index.php?act=community&do=detail1&id=100596,
316,Действащо,Св. Св. Кирил и Методий -1891,РАЗГРАД,КУБРАТ,ГРАД КУБРАТ,"Княз Борис I  1, п.к.7300",000499464,Руси Георгиев Русев,Гинка Петрова Денчева,chitalishte.kubrat@abv.bg,"0878365040;084872326,0879404391",,https://chitalishta.com/index.php?act=community&do=detail&id=283&reg_num=316,http://bibliobg.com/index.php?act=community&do=detail&hash=421fea1faa060dc80f65cf84bfaeb735807f4e0d,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=57223,https://chitalishta.com/index.php?act=community&do=detail1&id=69301,https://chitalishta.com/index.php?act=community&do=detail1&id=83301,https://chitalishta.com/index.php?act=community&do=detail1&id=92901,https://chitalishta.com/index.php?act=community&do=detail1&id=109477
317,Действащо,Атанас Манчев-1959 г.,БУРГАС,РУЕН,СЕЛО ТОПЧИЙСКО,"Средна гора 21, п.к.8582",000045383,Айше Ахмед Мустафа,Фатме Иляз Мустафа,chitalishte_topchiisko@abv.bg,0887-94-82-65,0894-64-88-95,https://chitalishta.com/index.php?act=community&do=detail&id=284&reg_num=317,http://bibliobg.com/index.php?act=community&do=detail&hash=239ee245d849c9a974cb3ef0d4c84066b3fb52bc,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=59072,https://chitalishta.com/index.php?act=community&do=detail1&id=71426,https://chitalishta.com/index.php?act=community&do=detail1&id=86086,https://chitalishta.com/index.php?act=community&do=detail1&id=98878,
318,Действащо,Зора-1928 г.,БУРГАС,РУЕН,СЕЛО РУЕН,"Изгрев 18, п.к.8540",000046599,Васвие Мустафа Ибрям,Гюлсюм Исмет Шабан,chitalishte_ruen@abv.bg,0878 500 975; 0886225782,-,https://chitalishta.com/index.php?act=community&do=detail&id=285&reg_num=318,http://bibliobg.com/index.php?act=community&do=detail&hash=03d5f7991b31a53f4ca581fdd30f78fc214bb43b,,,,https://chitalishta.com/index.php?act=community&do=detail1&id=58945,https://chitalishta.com/index.php?act=community&do=detail1&id=68736,https://chitalishta.com/index.php?act=community&do=detail1&id=85998,https://chitalishta.com/index.php?act=community&do=detail1&id=97244,
